title,pmid,abstract
Structural and functional analyses of the echinomycin resistance conferring protein Ecm16 from Streptomyces lasalocidi.,37198233,"Echinomycin is a natural product DNA bisintercalator antibiotic. The echinomycin biosynthetic gene cluster in Streptomyces lasalocidi includes a gene encoding the self-resistance protein Ecm16. Here, we present the 2.0 Å resolution crystal structure of Ecm16 bound to adenosine diphosphate. The structure of Ecm16 closely resembles that of UvrA, the DNA damage sensor component of the prokaryotic nucleotide excision repair system, but Ecm16 lacks the UvrB-binding domain and its associated zinc-binding module found in UvrA. Mutagenesis study revealed that the insertion domain of Ecm16 is required for DNA binding. Furthermore, the specific amino acid sequence of the insertion domain allows Ecm16 to distinguish echinomycin-bound DNA from normal DNA and link substrate binding to ATP hydrolysis activity. Expression of ecm16 in the heterologous host Brevibacillus choshinensis conferred resistance against echinomycin and other quinomycin antibiotics, including thiocoraline, quinaldopeptin, and sandramycin. Our study provides new insight into how the producers of DNA bisintercalator antibiotics fend off the toxic compounds that they produce."
LexR Positively Regulates the LexABC Efflux Pump Involved in Self-Resistance to the Antimicrobial Di-N-Oxide Phenazine in Lysobacter antibioticus.,37166326,"Myxin, a di-N-oxide phenazine isolated from the soil bacterium Lysobacter antibioticus, exhibits potent activity against various microorganisms and has the potential to be developed as an agrochemical. Antibiotic-producing microorganisms have developed self-resistance mechanisms to protect themselves from autotoxicity. Antibiotic efflux is vital for such protection. Recently, we identified a resistance-nodulation-division (RND) efflux pump, LexABC, involved in self-resistance against myxin in L. antibioticus. Expression of its genes, lexABC, was induced by myxin and was positively regulated by the LysR family transcriptional regulator LexR. The molecular mechanisms, however, have not been clear. Here, LexR was found to bind to the lexABC promoter region to directly regulate expression. Moreover, myxin enhanced this binding. Molecular docking and surface plasmon resonance analysis showed that myxin bound LexR with valine and lysine residues at positions 146 (V146) and 195 (K195), respectively. Furthermore, mutation of K195 in vivo led to downregulation of the gene lexA. These results indicated that LexR sensed and bound with myxin, thereby directly activating the expression of the LexABC efflux pump and increasing L. antibioticus resistance against myxin. IMPORTANCE Antibiotic-producing bacteria exhibit various sophisticated mechanisms for self-protection against their own secondary metabolites. RND efflux pumps that eliminate antibiotics from cells are ubiquitous in Gram-negative bacteria. Myxin is a heterocyclic N-oxide phenazine with potent antimicrobial and antitumor activities produced by the soil bacterium L. antibioticus. The RND pump LexABC contributes to the self-resistance of L. antibioticus against myxin. Herein, we report a mechanism involving the LysR family regulator LexR that binds to myxin and directly activates the LexABC pump. Further study on self-resistance mechanisms could help the investigation of strategies to deal with increasing bacterial antibiotic resistance and enable the discovery of novel natural products with resistance genes as selective markers."
Comparative and Functional Analyses Reveal Conserved and Variable Regulatory Systems That Control Lasalocid Biosynthesis in Different Streptomyces Species.,36847561,"Lasalocid, a representative polyether ionophore, has been successfully applied in veterinary medicine and animal husbandry and also displays promising potential for cancer therapy. Nevertheless, the regulatory system governing lasalocid biosynthesis remains obscure. Here, we identified two conserved (lodR2 and lodR3) and one variable (lodR1, found only in Streptomyces sp. strain FXJ1.172) putative regulatory genes through a comparison of the lasalocid biosynthetic gene cluster (lod) from Streptomyces sp. FXJ1.172 with those (las and lsd) from Streptomyces lasalocidi. Gene disruption experiments demonstrated that both lodR1 and lodR3 positively regulate lasalocid biosynthesis in Streptomyces sp. FXJ1.172, while lodR2 plays a negative regulatory role. To unravel the regulatory mechanism, transcriptional analysis and electrophoretic mobility shift assays (EMSAs) along with footprinting experiments were performed. The results revealed that LodR1 and LodR2 could bind to the intergenic regions of lodR1-lodAB and lodR2-lodED, respectively, thereby repressing the transcription of the lodAB and lodED operons, respectively. The repression of lodAB-lodC by LodR1 likely boosts lasalocid biosynthesis. Furthermore, LodR2 and LodE constitute a repressor-activator system that senses changes in intracellular lasalocid concentrations and coordinates its biosynthesis. LodR3 could directly activate the transcription of key structural genes. Comparative and parallel functional analyses of the homologous genes in S. lasalocidi ATCC 31180T confirmed the conserved roles of lodR2, lodE, and lodR3 in controlling lasalocid biosynthesis. Intriguingly, the variable gene locus lodR1-lodC from Streptomyces sp. FXJ1.172 seems functionally conserved when introduced into S. lasalocidi ATCC 31180T. Overall, our findings demonstrate that lasalocid biosynthesis is tightly controlled by both conserved and variable regulators, providing valuable guidance for further improving lasalocid production. IMPORTANCE Compared to its elaborated biosynthetic pathway, the regulation of lasalocid biosynthesis remains obscure. Here, we characterize the roles of regulatory genes in lasalocid biosynthetic gene clusters of two distinct Streptomyces species and identify a conserved repressor-activator system, LodR2-LodE, which could sense changes in the concentration of lasalocid and coordinate its biosynthesis with self-resistance. Furthermore, in parallel, we verify that the regulatory system identified in a new Streptomyces isolate is valid in the industrial lasalocid producer and thus applicable for the construction of high-yield strains. These findings deepen our understanding of regulatory mechanisms involved in the production of polyether ionophores and provide novel clues for the rational design of industrial strains for scaled-up production."
Discovery of a Unique Flavonoid Biosynthesis Mechanism in Fungi by Genome Mining.,36704842,"Flavonoids are important plant natural products with variable structures and bioactivities. All known plant flavonoids are generated under the catalysis of a type III polyketide synthase (PKS) followed by a chalcone isomerase (CHI) and a flavone synthase (FNS). In this study, the biosynthetic gene cluster of chlorflavonin, a fungal flavonoid with acetolactate synthase inhibitory activity, was discovered using a self-resistance-gene-directed strategy. A novel flavonoid biosynthetic pathway in fungi was revealed. A core nonribosomal peptide synthetase-polyketide synthase (NRPS-PKS) is responsible for the generation of the key precursor chalcone. Then, a new type of CHI catalyzes the conversion of a chalcone into a flavanone by a histidine-mediated oxa-Michael addition mechanism. Finally, the desaturation of flavanone to flavone is catalyzed by a new type of FNS, a flavin mononucleotide (FMN)-dependent oxidoreductase."
Newly Discovered Mechanisms of Antibiotic Self-Resistance with Multiple Enzymes Acting at Different Locations and Stages.,36671236,"Self-resistance determinants are essential for the biosynthesis of bioactive natural products and are closely related to drug resistance in clinical settings. The study of self-resistance mechanisms has long moved forward on the discovery of new resistance genes and the characterization of enzymatic reactions catalyzed by these proteins. However, as more examples of self-resistance have been reported, it has been revealed that the enzymatic reactions contribute to self-protection are not confined to the cellular location where the final toxic compounds are present. In this review, we summarize representative examples of self-resistance mechanisms for bioactive natural products functional at different cell locations to explore the models of resistance strategies involved. Moreover, we also highlight those resistance determinants that are widespread in nature and describe the applications of self-resistance genes in natural product mining to interrogate the landscape of self-resistance genes in drug resistance-related new drug discovery."
Heterologous Expression Reveals Ancient Properties of Tei3—A VanS Ortholog from the Teicoplanin Producer Actinoplanes teichomyceticus.,36555354,"Glycopeptide antibiotics (GPAs) are among the most clinically successful antimicrobials. GPAs inhibit cell-wall biosynthesis in Gram-positive bacteria via binding to lipid II. Natural GPAs are produced by various actinobacteria. Being themselves Gram-positives, the GPA producers evolved sophisticated mechanisms of self-resistance to avoid suicide during antibiotic production. These self-resistance genes are considered the primary source of GPA resistance genes actually spreading among pathogenic enterococci and staphylococci. The GPA-resistance mechanism in Actinoplanes teichomyceticus—the producer of the last-resort-drug teicoplanin—has been intensively studied in recent years, posing relevant questions about the role of Tei3 sensor histidine kinase. In the current work, the molecular properties of Tei3 were investigated. The setup of a GPA-responsive assay system in the model Streptomyces coelicolor allowed us to demonstrate that Tei3 functions as a non-inducible kinase, conferring high levels of GPA resistance in A. teichomyceticus. The expression of different truncated versions of tei3 in S. coelicolor indicated that both the transmembrane helices of Tei3 are crucial for proper functioning. Finally, a hybrid gene was constructed, coding for a chimera protein combining the Tei3 sensor domain with the kinase domain of VanS, with the latter being the inducible Tei3 ortholog from S. coelicolor. Surprisingly, such a chimera did not respond to teicoplanin, but indeed to the related GPA A40926. Coupling these experimental results with a further in silico analysis, a novel scenario on GPA-resistance and biosynthetic genes co-evolution in A. teichomyceticus was hereby proposed."
Discovery of Efrotomycin Congeners and Heterologous Expression-Based Insights into the Self-Resistance Mechanism.,36445346,"Four new efrotomycins, A1-A4 (1-4), were isolated from the salt mine-derived Amycolatopsis cihanbeyliensis DSM 45679 and structurally determined. Efrotomycins A3 (3) and A4 (4) feature a tetrahydrofuran ring configured distinctly from known elfamycins. Heterologous expression of the efrotomycin gene cluster (efr BGC) in Streptomyces lividans SBT18 led to efrotomycin B1 (5), the yield of which was improved several fold upon introduction of the transporter gene efrT, a putative self-resistance determinant outside of the efr BGC."
Abundant antibiotic resistance genes in rhizobiome of the human edible Moringa oleifera medicinal plant.,36187977,"Moringa oleifera (or the miracle tree) is a wild plant species widely grown for its seed pods and leaves, and is used in traditional herbal medicine. The metagenomic whole genome shotgun sequencing (mWGS) approach was used to characterize antibiotic resistance genes (ARGs) of the rhizobiomes of this wild plant and surrounding bulk soil microbiomes and to figure out the chance and consequences for highly abundant ARGs, e.g., mtrA, golS, soxR, oleC, novA, kdpE, vanRO, parY, and rbpA, to horizontally transfer to human gut pathogens via mobile genetic elements (MGEs). The results indicated that abundance of these ARGs, except for golS, was higher in rhizosphere of M. oleifera than that in bulk soil microbiome with no signs of emerging new soil ARGs in either soil type. The most highly abundant metabolic processes of the most abundant ARGs were previously detected in members of phyla Actinobacteria, Proteobacteria, Acidobacteria, Chloroflexi, and Firmicutes. These processes refer to three resistance mechanisms namely antibiotic efflux pump, antibiotic target alteration and antibiotic target protection. Antibiotic efflux mechanism included resistance-nodulation-cell division (RND), ATP-binding cassette (ABC), and major facilitator superfamily (MFS) antibiotics pumps as well as the two-component regulatory kdpDE system. Antibiotic target alteration included glycopeptide resistance gene cluster (vanRO), aminocoumarin resistance parY, and aminocoumarin self-resistance parY. While, antibiotic target protection mechanism included RbpA bacterial RNA polymerase (rpoB)-binding protein. The study supports the claim of the possible horizontal transfer of these ARGs to human gut and emergence of new multidrug resistant clinical isolates. Thus, careful agricultural practices are required especially for plants used in circles of human nutrition industry or in traditional medicine."
Ψ-Footprinting approach for the identification of protein synthesis inhibitor producers.,35855324,"Today, one of the biggest challenges in antibiotic research is a targeted prioritization of natural compound producer strains and an efficient dereplication process to avoid undesired rediscovery of already known substances. Thereby, genome sequence-driven mining strategies are often superior to wet-lab experiments because they are generally faster and less resource-intensive. In the current study, we report on the development of a novel in silico screening approach to evaluate the genetic potential of bacterial strains to produce protein synthesis inhibitors (PSI), which was termed the protein synthesis inhibitor ('psi') target gene footprinting approach = Ψ-footprinting. The strategy is based on the occurrence of protein synthesis associated self-resistance genes in genome sequences of natural compound producers. The screening approach was applied to 406 genome sequences of actinomycetes strains from the DSMZ strain collection, resulting in the prioritization of 15 potential PSI producer strains. For twelve of them, extract samples showed protein synthesis inhibitory properties in in vitro transcription/translation assays. For four strains, namely Saccharopolyspora flava DSM 44771, Micromonospora aurantiaca DSM 43813, Nocardioides albertanoniae DSM 25218, and Geodermatophilus nigrescens DSM 45408, the protein synthesis inhibitory substance amicoumacin was identified by HPLC-MS analysis, which proved the functionality of the in silico screening approach."
The structural and functional divergence of a neglected three-finger toxin subfamily in lethal elapids.,35830808,"Bungarus multicinctus is a widely distributed and medically important elapid snake that produces lethal neurotoxic venom. To study and enhance existing antivenom, we explore the complete repertoire of its toxin genes based on de novo chromosome-level assembly and multi-tissue transcriptome data. Comparative genomic analyses suggest that the three-finger toxin family (3FTX) may evolve through the neofunctionalization of flanking LY6E. A long-neglected 3FTX subfamily (i.e., MKA-3FTX) is also investigated. Only one MKA-3FTX gene, which evolves a different protein conformation, is under positive selection and actively transcribed in the venom gland, functioning as a major toxin effector together with MKT-3FTX subfamily homologs. Furthermore, this lethal snake may acquire self-resistance to its β-bungarotoxin via amino acid replacements on fast-evolving KCNA2. This study provides valuable resources for further evolutionary and structure-function studies of snake toxins, which are fundamental for the development of effective antivenoms and drug candidates."
"Penicillin-Binding Proteins, β-Lactamases, and β-Lactamase Inhibitors in β-Lactam-Producing Actinobacteria: Self-Resistance Mechanisms.",35628478,"The human society faces a serious problem due to the widespread resistance to antibiotics in clinical practice. Most antibiotic biosynthesis gene clusters in actinobacteria contain genes for intrinsic self-resistance to the produced antibiotics, and it has been proposed that the antibiotic resistance genes in pathogenic bacteria originated in antibiotic-producing microorganisms. The model actinobacteria Streptomyces clavuligerus produces the β-lactam antibiotic cephamycin C, a class A β-lactamase, and the β lactamases inhibitor clavulanic acid, all of which are encoded in a gene supercluster; in addition, it synthesizes the β-lactamase inhibitory protein BLIP. The secreted clavulanic acid has a synergistic effect with the cephamycin produced by the same strain in the fight against competing microorganisms in its natural habitat. High levels of resistance to cephamycin/cephalosporin in actinobacteria are due to the presence (in their β-lactam clusters) of genes encoding PBPs which bind penicillins but not cephalosporins. We have revised the previously reported cephamycin C and clavulanic acid gene clusters and, in addition, we have searched for novel β-lactam gene clusters in protein databases. Notably, in S. clavuligerus and Nocardia lactamdurans, the β-lactamases are retained in the cell wall and do not affect the intracellular formation of isopenicillin N/penicillin N. The activity of the β-lactamase in S. clavuligerus may be modulated by the β-lactamase inhibitory protein BLIP at the cell-wall level. Analysis of the β-lactam cluster in actinobacteria suggests that these clusters have been moved by horizontal gene transfer between different actinobacteria and have culminated in S. clavuligerus with the organization of an elaborated set of genes designed for fine tuning of antibiotic resistance and cell wall remodeling for the survival of this Streptomyces species. This article is focused specifically on the enigmatic connection between β-lactam biosynthesis and β-lactam resistance mechanisms in the producer actinobacteria."
Mycothiol Peroxidase Activity as a Part of the Self-Resistance Mechanisms against the Antitumor Antibiotic Cosmomycin D.,35510858,"Antibiotic-producing microorganisms usually require one or more self-resistance determinants to survive antibiotic production. The effectors of these mechanisms are proteins that inactivate the antibiotic, facilitate its transport, or modify the target to render it insensitive to the molecule. Streptomyces bacteria biosynthesize various bioactive natural products and possess resistance systems for most metabolites, which are coregulated with antibiotic biosynthesis genes. Streptomyces olindensis strain DAUFPE 5622 produces the antitumor antibiotic cosmomycin D (COSD), a member of the anthracycline family. In this study, we propose three self-resistance mechanisms, anchored or based in the COSD biosynthetic gene cluster. These include cosIJ (an ABC transporter), cosU (a UvrA class IIa protein), and a new self-resistance mechanism encoded by cosP, which shows response against peroxides by the enzyme mycothiol peroxidase (MPx). Activity-based investigations of MPx and its mutant enzyme confirmed peroxidation during the production of COSD. Overexpression of the ABC transporter, the UvrA class IIa protein, and the MPx led to an effective response against toxic anthracyclines, such as cosmomycins. Our findings help to understand how thiol peroxidases play an antioxidant role in the anthracycline producer S. olindensis DAUFPE 5622, a mechanism which has been reported for neoplastic cells that are resistant to doxorubicin (DOX). IMPORTANCE Anthracycline compounds are DNA intercalating agents widely used in cancer chemotherapeutic protocols. This work focused on the self-resistance mechanisms developed by the cosmomycin-producing bacterium Streptomyces olindensis. Our findings showed that cysteine peroxidases, such as mycothiol peroxidase, encoded by the gene cosP, protected S. olindensis against peroxidation during cosmomycin production. This observation can contribute to much better understanding of resistance both in the producers, eventually enhancing production, and in some tumoral cell lines."
Molecular basis of antibiotic self-resistance in a bee larvae pathogen.,35487884,"Paenibacillus larvae, the causative agent of the devastating honey-bee disease American Foulbrood, produces the cationic polyketide-peptide hybrid paenilamicin that displays antibacterial and antifungal activity. Its biosynthetic gene cluster contains a gene coding for the N-acetyltransferase PamZ. We show that PamZ acts as self-resistance factor in Paenibacillus larvae by deactivation of paenilamicin. Using tandem mass spectrometry, nuclear magnetic resonance spectroscopy and synthetic diastereomers, we identified the N-terminal amino group of the agmatinamic acid as the N-acetylation site. These findings highlight the pharmacophore region of paenilamicin, which we very recently identified as a ribosome inhibitor. Here, we further determined the crystal structure of PamZ:acetyl-CoA complex at 1.34 Å resolution. An unusual tandem-domain architecture provides a well-defined substrate-binding groove decorated with negatively-charged residues to specifically attract the cationic paenilamicin. Our results will help to understand the mode of action of paenilamicin and its role in pathogenicity of Paenibacillus larvae to fight American Foulbrood."
Resistance-Guided Mining of Bacterial Genotoxins Defines a Family of DNA Glycosylases.,35311535,"Unique DNA repair enzymes that provide self-resistance against therapeutically important, genotoxic natural products have been discovered in bacterial biosynthetic gene clusters (BGCs). Among these, the DNA glycosylase AlkZ is essential for azinomycin B production and belongs to the HTH_42 superfamily of uncharacterized proteins. Despite their widespread existence in antibiotic producers and pathogens, the roles of these proteins in production of other natural products are unknown. Here, we determine the evolutionary relationship and genomic distribution of all HTH_42 proteins from Streptomyces and use a resistance-based genome mining approach to identify homologs associated with known and uncharacterized BGCs. We find that AlkZ-like (AZL) proteins constitute one distinct HTH_42 subfamily and are highly enriched in BGCs and variable in sequence, suggesting each has evolved to protect against a specific secondary metabolite. As a validation of the approach, we show that the AZL protein, HedH4, associated with biosynthesis of the alkylating agent hedamycin, excises hedamycin-DNA adducts with exquisite specificity and provides resistance to the natural product in cells. We also identify a second, phylogenetically and functionally distinct subfamily whose proteins are never associated with BGCs, are highly conserved with respect to sequence and genomic neighborhood, and repair DNA lesions not associated with a particular natural product. This work delineates two related families of DNA repair enzymes-one specific for complex alkyl-DNA lesions and involved in self-resistance to antimicrobials and the other likely involved in protection against an array of genotoxins-and provides a framework for targeted discovery of new genotoxic compounds with therapeutic potential. IMPORTANCE Bacteria are rich sources of secondary metabolites that include DNA-damaging genotoxins with antitumor/antibiotic properties. Although Streptomyces produce a diverse number of therapeutic genotoxins, efforts toward targeted discovery of biosynthetic gene clusters (BGCs) producing DNA-damaging agents is lacking. Moreover, work on toxin-resistance genes has lagged behind our understanding of those involved in natural product synthesis. Here, we identified over 70 uncharacterized BGCs producing potentially novel genotoxins through resistance-based genome mining using the azinomycin B-resistance DNA glycosylase AlkZ. We validate our analysis by characterizing the enzymatic activity and cellular resistance of one AlkZ ortholog in the BGC of hedamycin, a potent DNA alkylating agent. Moreover, we uncover a second, phylogenetically distinct family of proteins related to Escherichia coli YcaQ, a DNA glycosylase capable of unhooking interstrand DNA cross-links, which differs from the AlkZ-like family in sequence, genomic location, proximity to BGCs, and substrate specificity. This work defines two families of DNA glycosylase for specialized repair of complex genotoxic natural products and generalized repair of a broad range of alkyl-DNA adducts and provides a framework for targeted discovery of new compounds with therapeutic potential."
